Username,Issue,PR-author,BugReport-author,Commented,Reviewer,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario
lsaffre,sphinx-doc/sphinx#1892,False,False,True,False,PF2,PS3,False,25
shimizukawa,sphinx-doc/sphinx#1892,False,False,True,False,PF2,PS3,False,25
birkenfeld,sphinx-doc/sphinx#1892,False,False,True,False,PF2,PS3,False,25
amueller,sphinx-doc/sphinx#1892,False,False,True,False,PF2,PS3,False,25
amueller,scikit-learn/scikit-learn#4737,False,True,True,False,PF2,PS3,False,25
shoyer,scikit-learn/scikit-learn#4737,False,False,True,False,PF2,PS3,False,25
ogrisel,joblib/joblib#38,False,True,True,False,PF2,PS3,False,27
GaelVaroquaux,joblib/joblib#38,False,False,True,False,PF2,PS3,False,27
vene,joblib/joblib#38,False,False,True,False,PF2,PS3,False,27
ogrisel,joblib/joblib#44,True,False,True,False,PF2,PS3,False,27
GaelVaroquaux,joblib/joblib#44,False,False,True,False,PF2,PS3,False,27
glouppe,joblib/joblib#44,False,False,True,False,PF2,PS3,False,27
bdholt1,joblib/joblib#44,False,False,True,False,PF2,PS3,False,27
ogrisel,scikit-learn/scikit-learn#1142,False,True,True,False,PF2,PS3,False,27
GaelVaroquaux,scikit-learn/scikit-learn#1142,False,False,True,False,PF2,PS3,False,27
agramfort,scikit-learn/scikit-learn#1142,False,False,True,False,PF2,PS3,False,27
larsmans,scikit-learn/scikit-learn#1142,False,False,True,False,PF2,PS3,False,27
mhvk,numpy/numpy#7393,False,True,True,False,PF2,PS3,False,46
njsmith,numpy/numpy#7393,False,False,True,False,PF2,PS3,False,46
seberg,numpy/numpy#7393,False,False,True,False,PF2,PS3,False,46
ahaldane,numpy/numpy#7393,False,False,True,False,PF2,PS3,False,46
charris,numpy/numpy#7393,False,False,True,False,PF2,PS3,False,46
ahaldane,numpy/numpy#7397,True,False,True,False,PF2,PS3,False,46
charris,numpy/numpy#7397,False,False,True,False,PF2,PS3,False,46
njsmith,numpy/numpy#7397,False,False,True,False,PF2,PS3,False,46
mhvk,numpy/numpy#7397,False,False,True,False,PF2,PS3,False,46
mhvk,astropy/astropy#4677,False,True,True,False,PF2,PS3,False,46
eteq,astropy/astropy#4677,False,False,True,False,PF2,PS3,False,46
klaussfreire,zeromq/pyzmq#613,False,True,True,False,PF2,PS3,False,50
rainwoodman,zeromq/pyzmq#613,False,False,True,False,PF2,PS3,False,50
minrk,zeromq/pyzmq#613,False,False,True,False,PF2,PS3,False,50
minrk,zeromq/pyzmq#618,True,False,False,False,PF2,PS3,False,50
miohtama,zeromq/pyzmq#618,False,False,True,False,PF2,PS3,False,50
khadiwala,ipython/ipython#6109,False,True,True,False,PF2,PS3,False,50
ahaefner,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
erccarls,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
andaag,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
ricklupton,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
jamescasbon,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
ellisonbg,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
Shotgunosine,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
minrk,ipython/ipython#6109,False,False,True,False,PF2,PS3,False,50
taldcroft,numpy/numpy#6019,False,True,False,False,PF2,PS3,False,51
astrofrog,numpy/numpy#6019,False,False,True,False,PF2,PS3,False,51
charris,numpy/numpy#6019,False,False,True,False,PF2,PS3,False,51
taldcroft,numpy/numpy#6019,True,False,False,False,PF2,PS3,False,51
astrofrog,numpy/numpy#6019,False,False,True,False,PF2,PS3,False,51
charris,numpy/numpy#6019,False,False,True,False,PF2,PS3,False,51
astrofrog,astropy/astropy#3877,False,True,True,False,PF2,PS3,False,51
taldcroft,astropy/astropy#3877,False,False,True,False,PF2,PS3,False,51
mhvk,astropy/astropy#3877,False,False,True,False,PF2,PS3,False,51
embray,astropy/astropy#3877,False,False,True,False,PF2,PS3,False,51
pllim,astropy/astropy#3877,False,False,True,False,PF2,PS3,False,51
juliantaylor,numpy/numpy#3793,False,True,False,False,PF2,PS3,False,52
juliantaylor,numpy/numpy#3800,True,False,True,False,PF2,PS3,False,52
cgohlke,numpy/numpy#3800,False,False,True,False,PF2,PS3,False,52
njsmith,numpy/numpy#3800,False,False,True,False,PF2,PS3,False,52
charris,numpy/numpy#3800,False,False,True,False,PF2,PS3,False,52
juliantaylor,scipy/scipy#2930,False,True,True,False,PF2,PS3,False,52
rgommers,scipy/scipy#2930,False,False,True,False,PF2,PS3,False,52
matthew-brett,scipy/scipy#2930,False,False,True,False,PF2,PS3,False,52
pv,scipy/scipy#2930,False,False,True,False,PF2,PS3,False,52
TomasTomecek,scipy/scipy#2930,False,False,True,False,PF2,PS3,False,52
mfrodl,joblib/joblib#258,False,True,True,False,PF2,PS3,False,54
GaelVaroquaux,joblib/joblib#258,False,False,True,False,PF2,PS3,False,54
kw-moeller,joblib/joblib#258,False,False,True,False,PF2,PS3,False,54
lesteve,joblib/joblib#258,False,False,True,False,PF2,PS3,False,54
mfrodl,joblib/joblib#259,True,False,True,False,PF2,PS3,False,54
lesteve,joblib/joblib#259,False,False,True,False,PF2,PS3,False,54
GaelVaroquaux,joblib/joblib#259,False,False,True,False,PF2,PS3,False,54
pprett,scikit-learn/scikit-learn#542,False,True,True,False,PF2,PS3,False,54
mblondel,joblib/joblib#66,False,True,True,False,PF2,PS3,False,57
ogrisel,joblib/joblib#66,False,False,True,False,PF2,PS3,False,57
GaelVaroquaux,joblib/joblib#66,False,False,True,False,PF2,PS3,False,57
aabadie,joblib/joblib#260,True,False,True,False,PF2,PS3,False,57
GaelVaroquaux,joblib/joblib#260,False,False,True,False,PF2,PS3,False,57
lesteve,joblib/joblib#260,False,False,True,False,PF2,PS3,False,57
abhirk,scikit-learn/scikit-learn#1414,False,True,True,False,PF2,PS3,False,57
ogrisel,scikit-learn/scikit-learn#1414,False,False,True,False,PF2,PS3,False,57
arjoly,scikit-learn/scikit-learn#1414,False,False,True,False,PF2,PS3,False,57
